Timings,In Time,Score,SessionID
0.2999999,,,NKMM - 2150
-0.02000009,TRUE,1,
-8.94E-08,TRUE,2,
-0.1400001,TRUE,2,
0.01999991,TRUE,2,
0.1799999,FALSE,3,
,,,
,,,
Average Timing,Accuracy,Highest Score,
0.007999906,0.8,3,
