Timings,In Time,Score,SessionID
0.2684745,,,PATB - 1152
-0.1115255,TRUE,0,
-0.1915255,TRUE,0,
0.2484745,FALSE,0,
0.2284745,FALSE,0,
0.2684745,FALSE,0,
0.3084745,FALSE,0,
-0.1515255,TRUE,0,
0.2684745,FALSE,0,
0.2484745,FALSE,0,
0.2884745,FALSE,0,
-0.1715255,TRUE,0,
-0.1515255,TRUE,0,
-0.0915255,TRUE,0,
-0.1115255,TRUE,0,
-0.0715255,TRUE,0,
0.0284745,TRUE,0,
0.2484745,FALSE,0,
-0.1115255,TRUE,0,
-0.0715255,TRUE,0,
-0.0715255,TRUE,0,
-0.0115255,TRUE,0,
0.008474503,TRUE,0,
0.0484745,TRUE,0,
0.0484745,TRUE,0,
0.008474503,TRUE,0,
0.0484745,TRUE,0,
-0.0115255,TRUE,0,
0.008474503,TRUE,0,
0.0284745,TRUE,0,
0.008474503,TRUE,0,
0.0884745,TRUE,0,
0.1684745,TRUE,0,
0.2084745,FALSE,0,
0.1884745,TRUE,0,
0.1884745,TRUE,0,
0.2484745,FALSE,0,
0.2284745,FALSE,0,
0.2884745,FALSE,0,
-0.1715255,TRUE,0,
0.2284745,FALSE,0,
0.1884745,TRUE,0,
0.2484745,FALSE,0,
0.2684745,FALSE,0,
0.3084745,FALSE,0,
0.2884745,FALSE,0,
0.2484745,FALSE,0,
0.0884745,TRUE,0,
0.0884745,TRUE,0,
0.1284745,TRUE,0,
0.1884745,TRUE,0,
0.2484745,FALSE,0,
0.008474503,TRUE,0,
0.0284745,TRUE,0,
0.0684745,TRUE,0,
0.0684745,TRUE,0,
0.0884745,TRUE,0,
0.0884745,TRUE,0,
0.3084745,FALSE,0,
0.2484745,FALSE,0,
0.0684745,TRUE,0,
0.0484745,TRUE,0,
0.1284745,TRUE,0,
0.1684745,TRUE,0,
0.1484745,TRUE,0,
0.2084745,FALSE,0,
0.1284745,TRUE,0,
0.1284745,TRUE,0,
0.1084745,TRUE,0,
0.1684745,TRUE,0,
0.2684745,FALSE,0,
0.2084745,FALSE,0,
0.2484745,FALSE,0,
0.2284745,FALSE,0,
0.2484745,FALSE,0,
0.2484745,FALSE,0,
0.2684745,FALSE,0,
0.2684745,FALSE,0,
0.2884745,FALSE,0,
-0.1915255,TRUE,0,
-0.1715255,TRUE,0,
-0.1515255,TRUE,0,
-0.1515255,TRUE,0,
-0.1315255,TRUE,0,
-0.0315255,TRUE,0,
-0.0315255,TRUE,0,
-0.0515255,TRUE,0,
-0.0315255,TRUE,0,
-0.0315255,TRUE,0,
-0.0315255,TRUE,0,
-0.0315255,TRUE,0,
0.0284745,TRUE,0,
0.0884745,TRUE,0,
0.0884745,TRUE,0,
0.1084745,TRUE,0,
0.2084745,FALSE,0,
0.0484745,TRUE,0,
0.1284745,TRUE,0,
0.1484745,TRUE,0,
0.1084745,TRUE,0,
0.1884745,TRUE,0,
0.1484745,TRUE,0,
0.2084745,FALSE,0,
0.2484745,FALSE,0,
-0.0515255,TRUE,0,
-0.0915255,TRUE,0,
-0.0715255,TRUE,20,
