Duration,Intended Duration
0.4069495,Infinity
0.1791331,0.5
0.4873623,0.5
0.5124083,0.5
0.4847806,0.5
0.5114517,0.5
0.4951287,0.5
0.5030269,0.5
0.4945107,0.5
0.4957114,0.5
0.5158846,0.5
0.4853223,0.5
0.5089433,0.5
0.4903244,0.5
0.5123836,0.5
0.4862939,0.5
0.4902713,0.5
0.5235879,0.5
0.4880443,0.5
0.5098956,0.5
0.4902582,0.5
0.5122591,0.5
0.4866856,0.5
0.5097305,0.5
0.4895981,0.5
0.5050897,0.5
0.5098181,0.5
0.4868168,0.5
0.5130437,0.5
0.4916545,0.5
0.503732,0.5
0.4930047,0.5
0.4878318,0.5
0.5251325,0.5
0.4886902,0.5
0.5085162,0.5
0.4882676,0.5
0.5098854,0.5
0.4893076,0.5
0.5146772,0.5
0.4892526,0.5
0.497016,0.5
0.5178676,0.5
0.4825772,0.5
0.5146419,0.5
0.4825164,0.5
0.5154751,0.5
0.490109,0.5
0.4861537,0.5
0.5206577,0.5
0.4890612,0.5
0.5134122,0.5
0.4879644,0.5
0.5089513,0.5
0.4902886,0.5
0.5098119,0.5
0.4896476,0.5
0.4986728,0.5
0.5114821,0.5
0.4895112,0.5
0.5112093,0.5
0.4918355,0.5
0.5105581,0.5
0.4887775,0.5
0.4935314,0.5
0.5173463,0.5
0.4894784,0.5
0.5062276,0.5
0.4932797,0.5
0.5071564,0.5
0.49693,0.5
0.5078514,0.5
0.4863375,0.5
0.5034759,0.5
0.5058728,0.5
0.4948535,0.5
0.5087155,0.5
0.4878038,0.5
0.5111601,0.5
0.4907451,0.5
0.4922093,0.5
0.524372,0.5
0.486329,0.5
0.5089628,0.5
0.4912729,0.5
0.5080554,0.5
0.4853657,0.5
0.5121174,0.5
0.4883975,0.5
0.5014086,0.5
0.5104818,0.5
0.4933069,0.5
0.5086498,0.5
0.4893563,0.5
0.510389,0.5
0.4880396,0.5
0.4897418,0.5
0.520488,0.5
0.4900781,0.5
0.5077499,0.5
0.4925907,0.5
0.5103261,0.5
0.4899078,0.5
0.5123523,0.5
0.484171,0.5
0.5018806,0.5
0.5084842,0.5
0.4937301,0.5
0.5103474,0.5
0.4882531,0.5
0.5115308,0.5
0.4880709,0.5
0.4887489,0.5
0.5184639,0.5
0.4970099,0.5
0.5063133,0.5
0.4910851,0.5
0.5119708,0.5
0.4905997,0.5
0.5056425,0.5
0.4887837,0.5
0.5024386,0.5
0.5100769,0.5
0.4911429,0.5
0.5089082,0.5
0.4893055,0.5
0.5098515,0.5
0.49148,0.5
0.4885923,0.5
0.5223734,0.5
0.4857616,0.5
0.5157921,0.5
0.4827633,0.5
0.5112,0.5
0.4903468,0.5
0.5157473,0.5
0.4870387,0.5
0.4987081,0.5
0.5109097,0.5
0.4906591,0.5
0.511213,0.5
0.4863333,0.5
0.5084364,0.5
0.4951632,0.5
0.4879001,0.5
0.5220791,0.5
0.4890155,0.5
0.5076412,0.5
0.4928569,0.5
0.5068898,0.5
0.4903613,0.5
0.5092214,0.5
0.4941323,0.5
0.4951896,0.5
0.5110858,0.5
0.4955448,0.5
0.5068462,0.5
0.4921024,0.5
0.5087999,0.5
0.4872973,0.5
0.4912671,0.5
0.5213628,0.5
0.4880853,0.5
0.5114608,0.5
0.4893731,0.5
0.5092037,0.5
0.4896271,0.5
0.5077645,0.5
0.4923115,0.5
0.5030894,0.5
0.5064602,0.5
0.4876095,0.5
0.5101781,0.5
0.4927289,0.5
0.5134737,0.5
0.4859841,0.5
0.4889325,0.5
0.5253785,0.5
0.4902443,0.5
0.5133313,0.5
0.4901733,0.5
0.5026221,0.5
0.4896901,0.5
0.5075681,0.5
0.4965297,0.5
0.4982776,0.5
0.5074955,0.5
0.4927993,0.5
0.50697,0.5
0.4915809,0.5
0.5097046,0.5
0.4917674,0.5
0.485458,0.5
0.5246062,0.5
0.4893811,0.5
0.5095161,0.5
0.4864587,0.5
0.5147384,0.5
0.4868737,0.5
0.5103851,0.5
0.4920008,0.5
0.5020705,0.5
0.5075578,0.5
0.4923996,0.5
0.5034139,0.5
0.4896156,0.5
0.5137318,0.5
0.4868149,0.5
0.4941863,0.5
0.5162598,0.5
0.4914919,0.5
0.5100164,0.5
0.4880384,0.5
0.5108047,0.5
0.4891421,0.5
0.5190483,0.5
0.4865539,0.5
0.4981946,0.5
0.514367,0.5
0.483865,0.5
0.5143019,0.5
0.4840983,0.5
0.5097662,0.5
0.4920455,0.5
0.494085,0.5
0.5174027,0.5
0.4881536,0.5
0.5136465,0.5
0.4907381,0.5
0.5043249,0.5
0.4941925,0.5
0.5102823,0.5
0.4876882,0.5
0.4971721,0.5
0.5153371,0.5
0.4847043,0.5
0.5107561,0.5
0.4923497,0.5
0.51205,0.5
0.4851361,0.5
0.4961097,0.5
0.5186819,0.5
0.4911818,0.5
0.5127974,0.5
0.485583,0.5
0.5075981,0.5
0.491491,0.5
0.5086228,0.5
0.4898549,0.5
0.4978638,0.5
0.516057,0.5
0.4876169,0.5
0.5127017,0.5
0.4833745,0.5
0.5164659,0.5
0.4837594,0.5
0.4921506,0.5
0.5205976,0.5
0.4899947,0.5
0.5097334,0.5
0.4910737,0.5
0.5067046,0.5
0.4914877,0.5
0.5110418,0.5
0.4879051,0.5
0.5007973,0.5
0.511659,0.5
0.4869798,0.5
0.5113459,0.5
0.4892034,0.5
0.5108286,0.5
0.4950587,0.5
0.4856587,0.5
0.5214115,0.5
0.4895637,0.5
0.5063903,0.5
0.4944142,0.5
0.5106297,0.5
0.4874622,0.5
0.5140144,0.5
0.4873105,0.5
0.4985651,0.5
0.5100067,0.5
0.4923192,0.5
0.5111197,0.5
0.4856367,0.5
0.5117656,0.5
0.4879649,0.5
0.4940392,0.5
0.5165646,0.5
0.4942541,0.5
0.5086432,0.5
0.4893106,0.5
0.5078739,0.5
0.4906282,0.5
0.5109984,0.5
0.4921827,0.5
0.4967344,0.5
0.5176079,0.5
0.4834743,0.5
0.5081666,0.5
0.4935107,0.5
0.5048846,0.5
0.4965371,0.5
0.4841202,0.5
0.521151,0.5
0.4918363,0.5
0.5094691,0.5
0.4970139,0.5
0.5042147,0.5
0.4924049,0.5
0.5091156,0.5
0.4856004,0.5
0.5003242,0.5
0.5153239,0.5
0.4826383,0.5
0.5124438,0.5
0.4905585,0.5
0.5133267,0.5
0.4899303,0.5
0.4861101,0.5
0.5185587,0.5
0.4923889,0.5
0.5063879,0.5
0.4915099,0.5
0.5146621,0.5
0.4885795,0.5
0.5136951,0.5
0.4848186,0.5
0.5024709,0.5
0.5053107,0.5
0.4950057,0.5
0.505977,0.5
0.4886537,0.5
0.514201,0.5
0.4908464,0.5
0.490075,0.5
0.5165997,0.5
0.48803,0.5
0.5147095,0.5
0.4916761,0.5
0.5071558,0.5
0.4925845,0.5
